studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Sony,118300000.0,175200000.0,Salt,2010-07-23,130000000.0,160650494.0,1.2357730307692307,100.0,"['Action', 'Mystery', 'Thriller']",6.4,277204,"[53, 80]",En,0.632,1.0,1.0,2010,1.2357730307692307,293500000.0
Wb (Nl),95300000.0,193000000.0,Sex And The City 2,2010-05-27,95000000.0,199680778.0,2.1019029263157893,146.0,"['Comedy', 'Drama', 'Romance']",4.4,69199,"[35, 18, 10749]",En,9.986,5.9,809.0,2010,2.1019029263157893,288300000.0
Sony,67600000.0,210700000.0,The Tourist,2010-12-10,100000000.0,178731369.0,1.78731369,103.0,"['Action', 'Adventure', 'Thriller']",6.0,206714,"[28, 53, 10749]",En,10.307,6.1,3133.0,2010,1.78731369,278300000.0
Lgf,103100000.0,171400000.0,The Expendables,2010-08-13,82000000.0,186268174.0,2.2715630975609757,103.0,"['Action', 'Adventure', 'Thriller']",6.5,307897,"[53, 12, 28]",En,21.517,6.1,4647.0,2010,2.2715630975609757,274500000.0
Sony,162000000.0,109400000.0,Grown Ups,2010-06-25,75000000.0,197223430.0,2.629645733333333,102.0,['Comedy'],6.0,210377,[35],En,14.291,6.1,3171.0,2010,2.629645733333333,271400000.0
Par.,171200000.0,81000000.0,True Grit,2010-12-22,35000000.0,217276928.0,6.207912228571429,110.0,"['Adventure', 'Drama', 'Western']",7.6,284034,"[18, 12, 37]",En,13.118,7.2,2816.0,2010,6.207912228571429,252200000.0
Fox,42800000.0,194600000.0,Gulliver'S Travels,2010-12-25,112000000.0,120017848.0,1.0715879285714285,85.0,"['Adventure', 'Comedy', 'Family']",4.9,61178,"[35, 12, 10751, 14]",En,10.768,5.1,1282.0,2010,1.0715879285714285,237400000.0
Fox,88800000.0,137700000.0,Percy Jackson & The Olympians: The Lightning Thief,2010-02-12,95000000.0,128050874.0,1.3479039368421053,118.0,"['Adventure', 'Family', 'Fantasy']",5.9,165108,"[12, 14, 10751]",En,26.691,6.1,4229.0,2010,1.3479039368421053,226500000.0
Sony,97000000.0,128000000.0,The Social Network,2010-10-01,40000000.0,184922135.0,4.623053375,120.0,"['Biography', 'Drama']",7.7,568578,[18],En,15.889,7.2,6116.0,2010,4.623053375,225000000.0
Wb (Nl),110500000.0,106000000.0,Valentine'S Day,2010-02-12,52000000.0,165569328.0,3.1840255384615386,125.0,"['Comedy', 'Romance']",5.7,107171,"[35, 10749]",En,11.187,5.8,1907.0,2010,3.1840255384615386,216500000.0
Bv,63200000.0,152100000.0,The Sorcerer'S Apprentice,2010-07-14,160000000.0,57986320.0,0.3624145,109.0,"['Action', 'Adventure', 'Family']",6.1,143862,"[14, 12, 28, 35, 18]",En,14.463,5.9,2879.0,2010,0.3624145,215300000.0
Wb,100500000.0,111200000.0,Due Date,2010-11-05,65000000.0,146739043.0,2.2575237384615385,95.0,"['Adventure', 'Comedy']",6.5,303523,"[35, 18]",En,12.445,6.3,2973.0,2010,2.2575237384615385,211700000.0
Sony,80600000.0,124000000.0,Eat Pray Love,2010-08-13,60000000.0,146598789.0,2.44331315,133.0,"['Drama', 'Romance']",5.8,77709,[18],En,9.991,6.0,1208.0,2010,2.44331315,204600000.0
